Paper_title,Table_title,is LCI inventory table?
1,Table 2 Data summary related to additive manufacturing,No
1,Table 3 Main resource consumption and emissions in the life cycle of impeller manufacturing methods,Yes
1,Table 4 Normalization results of three manufacturing methods,No
3,Table 1 Inputs and outputs associated with the production of 1 kg of refined mineral oil,Yes
3,Table 2 Fertilizers used for growing 1 hectare of rapeseed oil,No
4,Table 2 Summary of main materials and energy in foreground life cycle inventory for geothermal power plants (GPPs) in literature.,Yes
4,Table 3 Stimulation methods and respective materials and energy ﬂows for geothermal power plants (GPPs) found in the literature.,No
5,Table 1 Overview of considered environmental impacts.,No
5,Table 2 LCI data DDSG turbine.,Yes
5,Table 3 LCI data DFIG and DDPMSG turbine.,Yes
5,Table 4 Failure and replacement rates.,No
5,"Table 5 Design features, assumptions and results of LCA wind power studies.",No
6,Table 1 LCI data.,Yes
6,Table 2 CED values for all the phases considered in the three scenarios.,No
7,Table 1 Wastewater characteristics and treated effluent characteristics,No
7,"Table 3 Overview of inventory data and assumptions for primary clarification, as well as aerobic and ultrafiltration treatment",Yes
8,Table 1 Profile of case studies of small wastewater treatment technologies.,No
8,Table 2 Data sources for life cycle inventory of wastewater treatment systems.,Yes
9,"Table 7 LCIA results for 2030 scenario (complete vehicles lifetime - 150,000 km)",No
10,Table 1 Summary of inventory data used in this study,Yes
10,"Table 2. Energy input required for cultivation, harvesting, storage and transport of ley crops",No
10,Table 3 General specifications of bio-methane fuelled and electric bus,No
10,Table 4 Sensitivity analysis,No
11,"Table 1 Ratios of clinker in different types of cement (Ecofys, 2009 ).",No
11,Table 2 Scope of a cradle-to-gate method of cement production from different LCAs studies.,No
11,Table 3 Summary of the LCI of clinker and cement production from literature.,Yes
11,Table 4 Summary of LCIA accomplished from the literature.,No
11,Table 5 Summarizes LCA methodologies used in various studies extracted from the literature.,No
11,Table 6 Summarizes LCAs system boundaries (Cradle-to-gate) from the literature.,No
12,Table 1 Materials ﬂow of steel production in Poland enational integrated steel plant.,No
12,Table 2 Materials ﬂow of steel production in Poland enational electric arc furnaces (EAF).,No
